name,city,country,title,description,price_per_night,likes_count,reviews_count,facilities
Beach House,Miami,USA,Riverfront Residence,"A beautiful stay at Riverfront Residence located in Miami, USA.",416,267,93,"Air Conditioning, WiFi"
Countryside Cottage,Bath,UK,Sunset Paradise,"A beautiful stay at Sunset Paradise located in Bath, UK.",989,41,110,"Gym, Sauna, WiFi, Parking, Pool"
Historic Mansion,Rome,Italy,Historic Charm,"A beautiful stay at Historic Charm located in Rome, Italy.",694,492,11,"Pool, Air Conditioning, Pet Friendly"
Historic Mansion,Rome,Italy,City Lights Loft,"A beautiful stay at City Lights Loft located in Rome, Italy.",462,421,129,"Pet Friendly, Gym"
Lake Villa,Geneva,Switzerland,Seaside Villa,"A beautiful stay at Seaside Villa located in Geneva, Switzerland.",660,66,37,"Pet Friendly, Parking"
Mountain Cabin,Aspen,USA,Ocean Breeze,"A beautiful stay at Ocean Breeze located in Aspen, USA.",580,223,94,"Sauna, Parking, Pool, WiFi"
Historic Mansion,Rome,Italy,Luxury Penthouse,"A beautiful stay at Luxury Penthouse located in Rome, Italy.",809,383,22,"Pool, Breakfast, WiFi, Air Conditioning"
Forest Lodge,Vancouver,Canada,Forest Hideaway,"A beautiful stay at Forest Hideaway located in Vancouver, Canada.",996,487,186,"Air Conditioning, Breakfast, Pet Friendly, Gym"
Lake Villa,Geneva,Switzerland,Historic Charm,"A beautiful stay at Historic Charm located in Geneva, Switzerland.",567,161,151,"Air Conditioning, Breakfast, Pool"
Tea Garden Cottage,Sylhet,Bangladesh,Forest Hideaway,"A beautiful stay at Forest Hideaway located in Sylhet, Bangladesh.",372,277,72,"Pet Friendly, WiFi, Parking"
Mountain Cabin,Aspen,USA,Sunset Paradise,"A beautiful stay at Sunset Paradise located in Aspen, USA.",171,428,111,"Pool, Air Conditioning, Sauna, Pet Friendly"
City Apartment,New York,USA,Sunset Paradise,"A beautiful stay at Sunset Paradise located in New York, USA.",377,119,142,"Pet Friendly, Breakfast"
City Apartment,New York,USA,Island Serenity,"A beautiful stay at Island Serenity located in New York, USA.",751,369,8,"Gym, WiFi, Parking, Sauna"
Forest Lodge,Vancouver,Canada,Beachfront Bungalow,"A beautiful stay at Beachfront Bungalow located in Vancouver, Canada.",247,467,180,"Air Conditioning, Sauna, Gym, WiFi"
Mountain Cabin,Aspen,USA,City Lights Loft,"A beautiful stay at City Lights Loft located in Aspen, USA.",156,435,6,"Breakfast, Sauna, Air Conditioning, Pool, Parking"
Mountain Cabin,Aspen,USA,Sunset Paradise,"A beautiful stay at Sunset Paradise located in Aspen, USA.",152,416,194,"Pool, Air Conditioning"
Ski Chalet,Zermatt,Switzerland,Luxury Penthouse,"A beautiful stay at Luxury Penthouse located in Zermatt, Switzerland.",989,403,198,"Parking, Gym, Breakfast, Air Conditioning, Sauna"
Forest Lodge,Vancouver,Canada,Mountain Escape,"A beautiful stay at Mountain Escape located in Vancouver, Canada.",438,99,162,"Parking, Pet Friendly, Air Conditioning"
Lake Villa,Geneva,Switzerland,Cozy Nest,"A beautiful stay at Cozy Nest located in Geneva, Switzerland.",632,24,189,"WiFi, Pet Friendly, Air Conditioning"
Island Bungalow,Bali,Indonesia,Riverfront Residence,"A beautiful stay at Riverfront Residence located in Bali, Indonesia.",52,213,10,"Gym, Air Conditioning, Pet Friendly, Pool, Breakfast"
Mountain Cabin,Aspen,USA,Cozy Nest,"A beautiful stay at Cozy Nest located in Aspen, USA.",757,116,168,"Gym, Breakfast, Parking, Air Conditioning, Sauna"
Ski Chalet,Zermatt,Switzerland,Beachfront Bungalow,"A beautiful stay at Beachfront Bungalow located in Zermatt, Switzerland.",652,162,62,"Air Conditioning, Pool, Sauna, Breakfast, WiFi"
Island Bungalow,Bali,Indonesia,Island Serenity,"A beautiful stay at Island Serenity located in Bali, Indonesia.",843,194,107,"Breakfast, WiFi"
Countryside Cottage,Bath,UK,Seaside Villa,"A beautiful stay at Seaside Villa located in Bath, UK.",657,378,162,"Gym, Sauna"
Mountain Cabin,Aspen,USA,Cozy Nest,"A beautiful stay at Cozy Nest located in Aspen, USA.",415,287,28,"Pet Friendly, Breakfast"
Lake Villa,Geneva,Switzerland,Skyline Apartment,"A beautiful stay at Skyline Apartment located in Geneva, Switzerland.",190,160,76,"WiFi, Gym, Pool, Breakfast, Sauna"
Countryside Cottage,Bath,UK,Vintage Cottage,"A beautiful stay at Vintage Cottage located in Bath, UK.",556,464,141,"Air Conditioning, Parking"
Tea Garden Cottage,Sylhet,Bangladesh,Ocean Breeze,"A beautiful stay at Ocean Breeze located in Sylhet, Bangladesh.",945,355,47,"Pool, Pet Friendly, Air Conditioning, Parking, WiFi"
Beach House,Miami,USA,Ocean Breeze,"A beautiful stay at Ocean Breeze located in Miami, USA.",623,317,103,"Sauna, Pet Friendly"
Island Bungalow,Bali,Indonesia,Beachfront Bungalow,"A beautiful stay at Beachfront Bungalow located in Bali, Indonesia.",299,205,101,"Sauna, Pool, WiFi, Air Conditioning"
Ski Chalet,Zermatt,Switzerland,Desert Oasis,"A beautiful stay at Desert Oasis located in Zermatt, Switzerland.",329,220,169,"Parking, WiFi, Pool, Sauna"
Lake Villa,Geneva,Switzerland,Sunset Paradise,"A beautiful stay at Sunset Paradise located in Geneva, Switzerland.",633,17,126,"Parking, Gym"
Countryside Cottage,Bath,UK,Countryside Haven,"A beautiful stay at Countryside Haven located in Bath, UK.",268,57,195,"Parking, Gym"
Forest Lodge,Vancouver,Canada,Countryside Haven,"A beautiful stay at Countryside Haven located in Vancouver, Canada.",911,96,103,"Parking, Sauna, Gym, Breakfast"
Island Bungalow,Bali,Indonesia,Forest Hideaway,"A beautiful stay at Forest Hideaway located in Bali, Indonesia.",549,358,114,"Gym, Pet Friendly, WiFi, Pool, Parking"
Forest Lodge,Vancouver,Canada,City Lights Loft,"A beautiful stay at City Lights Loft located in Vancouver, Canada.",354,113,190,"Gym, Breakfast, Pool, Pet Friendly, Sauna"
Forest Lodge,Vancouver,Canada,Lakeside Retreat,"A beautiful stay at Lakeside Retreat located in Vancouver, Canada.",952,462,44,"Pool, Breakfast, Sauna, WiFi"
Ski Chalet,Zermatt,Switzerland,Garden View Villa,"A beautiful stay at Garden View Villa located in Zermatt, Switzerland.",983,388,115,"Sauna, Pet Friendly, Parking, WiFi"
Countryside Cottage,Bath,UK,Ski Wonderland,"A beautiful stay at Ski Wonderland located in Bath, UK.",715,230,67,"Pool, Gym, Pet Friendly"
Ski Chalet,Zermatt,Switzerland,Mountain Escape,"A beautiful stay at Mountain Escape located in Zermatt, Switzerland.",828,434,46,"Pool, Air Conditioning, WiFi"
Desert Retreat,Dubai,UAE,Ocean Breeze,"A beautiful stay at Ocean Breeze located in Dubai, UAE.",538,266,2,"Sauna, Breakfast, Pet Friendly"
Tea Garden Cottage,Sylhet,Bangladesh,Desert Oasis,"A beautiful stay at Desert Oasis located in Sylhet, Bangladesh.",449,50,106,"Air Conditioning, Gym, Parking, Pool"
Historic Mansion,Rome,Italy,Sunset Paradise,"A beautiful stay at Sunset Paradise located in Rome, Italy.",429,348,152,"Gym, Parking, WiFi, Sauna"
Beach House,Miami,USA,Island Serenity,"A beautiful stay at Island Serenity located in Miami, USA.",531,22,31,"Air Conditioning, Breakfast, Sauna, WiFi"
